"symbol","company_name","previous_close","option_chain"
"ARLP","Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",5.849999904632568,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ARVL","Arrival - Ordinary Shares",17.950000762939453,"{""contractSymbol"":{""0"":""ARVL210521P00017500""},""lastTradeDate"":{""0"":1620417377000},""strike"":{""0"":17.5},""lastPrice"":{""0"":0.96},""bid"":{""0"":0.85},""ask"":{""0"":1.05},""change"":{""0"":-0.44},""percentChange"":{""0"":-31.428572},""volume"":{""0"":1010.0},""openInterest"":{""0"":2490},""impliedVolatility"":{""0"":1.0351610742},""inTheMoney"":{""0"":false},""contractSize"":{""0"":""REGULAR""},""currency"":{""0"":""USD""},""symbol"":{""0"":""ARVL""}}"
"ARYA","ARYA Sciences Acquisition Corp III - Class A Ordinary Shares",10.119999885559082,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ASMB","Assembly Biosciences, Inc. - Common Stock",3.920000076293945,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ASPS","Altisource Portfolio Solutions S.A. - Common Stock",6.849999904632568,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ASPU","Aspen Group Inc. - Common Stock",5.239999771118164,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ASRT","Assertio Holdings, Inc. - Common Stock",0.5,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ASRV","AmeriServ Financial Inc. - Common Stock",4.28000020980835,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ASUR","Asure Software Inc - Common Stock",8.100000381469727,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ASYS","Amtech Systems, Inc. - Common Stock",10.0,"{""contractSymbol"":{""0"":""ASYS210820P00007500""},""lastTradeDate"":{""0"":1620240324000},""strike"":{""0"":7.5},""lastPrice"":{""0"":0.2},""bid"":{""0"":0.1},""ask"":{""0"":0.7},""change"":{""0"":0.0},""percentChange"":{""0"":0.0},""volume"":{""0"":253.0},""openInterest"":{""0"":268},""impliedVolatility"":{""0"":0.6757844922},""inTheMoney"":{""0"":false},""contractSize"":{""0"":""REGULAR""},""currency"":{""0"":""USD""},""symbol"":{""0"":""ASYS""}}"
