"symbol","company_name","previous_close"
"CAC","Camden National Corporation - Common Stock",47.529998779296875
"CACC","Credit Acceptance Corporation - Common Stock",417.2699890136719
"CAKE","The Cheesecake Factory Incorporated - Common Stock",62.2599983215332
"CALA","Calithera Biosciences, Inc. - Common Stock",2.0799999237060547
"CALM","Cal-Maine Foods, Inc. - Common Stock",37.38999938964844
"CAMP","CalAmp Corp. - Common Stock",12.649999618530273
"CAMT","Camtek Ltd. - Ordinary Shares",30.0
"CAN","Canaan Inc. - American Depositary Shares",11.609999656677246
"CAPA","HighCape Capital Acquisition Corp. - Class A Common Stock",10.300000190734863
"CAPR","Capricor Therapeutics, Inc. - Common Stock",3.4100000858306885
"CAR","Avis Budget Group, Inc. - Common Stock",83.91000366210938
"CARA","Cara Therapeutics, Inc. - Common Stock",12.4399995803833
"CARG","CarGurus, Inc. - Class A Common Stock",24.079999923706055
"CASA","Casa Systems, Inc. - Common Stock",8.25
"CASH","Meta Financial Group, Inc. - Common Stock",50.15999984741211
"CASS","Cass Information Systems, Inc - Common Stock",46.08000183105469
"CASY","Caseys General Stores, Inc. - Common Stock",222.2899932861328
"CATM","Cardtronics plc - Common Stock",38.88999938964844
"CATY","Cathay General Bancorp - Common Stock",42.13999938964844
"CBAY","CymaBay Therapeutics Inc. - Common Stock",4.070000171661377
"CBIO","Catalyst Biosciences, Inc.  - Common Stock",4.53000020980835
"CBRL","Cracker Barrel Old Country Store, Inc. - Common Stock",162.02000427246094
"CBSH","Commerce Bancshares, Inc. - Common Stock",80.75
"CCMP","CMC Materials, Inc. - Common Stock",159.10000610351562
"CCNE","CNB Financial Corporation - Common Stock",25.3799991607666
"CCRN","Cross Country Healthcare, Inc. - Common Stock",16.110000610351562
"CCXI","ChemoCentryx, Inc. - Common Stock",27.489999771118164
"CD","Chindata Group Holdings Limited - American Depositary Shares",13.970000267028809
"CDK","CDK Global, Inc. - Common Stock",54.529998779296875
"CDLX","Cardlytics, Inc. - Common Stock",101.2699966430664
"CDNA","CareDx, Inc. - Common Stock",72.68000030517578
"CDNS","Cadence Design Systems, Inc. - Common Stock",126.9000015258789
"CDTX","Cidara Therapeutics, Inc. - Common Stock",2.0199999809265137
"CDW","CDW Corporation - Common Stock",172.60000610351562
"CDXC","ChromaDex Corporation - Common Stock",8.579999923706055
"CDXS","Codexis, Inc. - Common Stock",19.81999969482422
"CDZI","Cadiz, Inc. - Common Stock",11.829999923706055
"CECE","CECO Environmental Corp. - Common Stock",7.150000095367432
"CEMI","Chembio Diagnostics, Inc. - Common Stock",3.5
"CENX","Century Aluminum Company - Common Stock",15.239999771118164
"CERN","Cerner Corporation - Common Stock",75.16999816894531
"CERS","Cerus Corporation - Common Stock",5.960000038146973
"CEVA","CEVA, Inc. - Common Stock",51.369998931884766
"CFFN","Capitol Federal Financial, Inc. - Common Stock",13.15999984741211
"CG","The Carlyle Group Inc. - Common Stock",44.810001373291016
"CGBD","TCG BDC, Inc. - Common Stock",13.470000267028809
"CGC","Canopy Growth Corporation - Common Shares",24.350000381469727
"CGEN","Compugen Ltd. - Ordinary Shares",7.440000057220459
"CGNX","Cognex Corporation - Common Stock",78.88999938964844
"CHDN","Churchill Downs, Incorporated - Common Stock",199.85000610351562
"CHEF","The Chefs' Warehouse, Inc. - Common Stock",31.56999969482422
"CHK","Chesapeake Energy Corporation - Common Stock",47.5099983215332
"CHNG","Change Healthcare Inc. - Common Stock",22.950000762939453
"CHRS","Coherus BioSciences, Inc. - Common Stock",14.5
"CHRW","C.H. Robinson Worldwide, Inc. - Common Stock",98.0199966430664
"CHTR","Charter Communications, Inc. - Class A Common Stock",675.7899780273438
"CHUY","Chuy's Holdings, Inc. - Common Stock",45.86000061035156
"CHX","ChampionX Corporation - Common Stock",23.979999542236328
"CINF","Cincinnati Financial Corporation - Common Stock",119.72000122070312
"CIVB","Civista Bancshares, Inc.  - Common Stock",23.31999969482422
"CLAR","Clarus Corporation - Common Stock",19.059999465942383
"CLDX","Celldex Therapeutics, Inc. - Common Stock",26.56999969482422
"CLFD","Clearfield, Inc. - Common Stock",38.72999954223633
"CLIR","ClearSign Technologies Corporation - Common Stock",4.21999979019165
"CLLS","Cellectis S.A. - American Depositary Shares",15.529999732971191
"CLMT","Calumet Specialty Products Partners, L.P. - Common units representing limited partner interests",6.369999885559082
"CLNE","Clean Energy Fuels Corp. - Common Stock",9.789999961853027
"CLSK","CleanSpark, Inc. - Common Stock",18.229999542236328
"CLVS","Clovis Oncology, Inc. - Common Stock",5.670000076293945
"CMCO","Columbus McKinnon Corporation - Common Stock",51.45000076293945
"CMCSA","Comcast Corporation - Class A Common Stock",56.97999954223633
"CME","CME Group Inc. - Class A Common Stock",204.35000610351562
"CMPS","COMPASS Pathways Plc - American Depository Shares",34.65999984741211
"CMRX","Chimerix, Inc. - Common Stock",8.489999771118164
"CNCE","Concert Pharmaceuticals, Inc. - Common Stock",4.010000228881836
"CNDT","Conduent Incorporated - Common Stock",7.309999942779541
"CNET","ZW Data Action Technologies Inc. - Common Stock",1.7100000381469727
"CNOB","ConnectOne Bancorp, Inc. - Common Stock",28.049999237060547
"CNST","Constellation Pharmaceuticals, Inc. - Common Stock",21.040000915527344
"CNTY","Century Casinos, Inc. - Common Stock",12.25
"CODX","Co-Diagnostics, Inc. - Common Stock",8.119999885559082
"COHR","Coherent, Inc. - Common Stock",253.5399932861328
"COHU","Cohu, Inc. - Common Stock",37.7599983215332
"COLB","Columbia Banking System, Inc. - Common Stock",44.630001068115234
"COLL","Collegium Pharmaceutical, Inc. - Common Stock",21.940000534057617
"COMM","CommScope Holding Company, Inc. - Common Stock",17.209999084472656
"CONE","CyrusOne Inc - Common Stock",69.81999969482422
"COOP","Mr. Cooper Group Inc. - Common Stock",32.72999954223633
"CORE","Core-Mark Holding Company, Inc. - Common Stock",42.0099983215332
"CORT","Corcept Therapeutics Incorporated - Common Stock",21.709999084472656
"COST","Costco Wholesale Corporation - Common Stock",382.760009765625
"COUP","Coupa Software Incorporated - Common Stock",234.89999389648438
"CPLP","Capital Product Partners L.P. - common units representing limited partner interests",12.720000267028809
"CPRT","Copart, Inc. - Common Stock",122.54000091552734
"CPRX","Catalyst Pharmaceuticals, Inc. - Common Stock",4.670000076293945
"CPSI","Computer Programs and Systems, Inc. - Common Stock",30.68000030517578
"CRAI","CRA International,Inc. - Common Stock",84.23999786376953
"CRBP","Corbus Pharmaceuticals Holdings, Inc. - Common Stock",1.5399999618530273
"CRDF","Cardiff Oncology, Inc. - Common Stock",9.010000228881836
"CREE","Cree, Inc. - Common Stock",94.1500015258789
"CRESY","Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock",6.050000190734863
"CRIS","Curis, Inc. - Common Stock",9.989999771118164
"CRMD","CorMedix Inc. - Common Stock",8.029999732971191
"CRNC","Cerence Inc. - Common Stock",88.7699966430664
"CRNT","Ceragon Networks Ltd. - Ordinary Shares",3.2699999809265137
"CRON","Cronos Group Inc. - Common Share",7.619999885559082
"CROX","Crocs, Inc. - Common Stock",106.16999816894531
"CRSP","CRISPR Therapeutics AG - Common Shares",107.83999633789062
"CRSR","Corsair Gaming, Inc. - Common Stock",32.779998779296875
"CRUS","Cirrus Logic, Inc. - Common Stock",76.3499984741211
"CRWD","CrowdStrike Holdings, Inc. - Class A Common Stock",187.07000732421875
"CSCO","Cisco Systems, Inc. - Common Stock",52.439998626708984
"CSGP","CoStar Group, Inc. - Common Stock",820.6099853515625
"CSGS","CSG Systems International, Inc. - Common Stock",45.75
"CSII","Cardiovascular Systems, Inc. - Common Stock",38.86000061035156
"CSIQ","Canadian Solar Inc. - Common Shares",39.20000076293945
"CSOD","Cornerstone OnDemand, Inc. - Common Stock",41.91999816894531
"CSWC","Capital Southwest Corporation - Common Stock",24.290000915527344
"CSX","CSX Corporation - Common Stock",102.55999755859375
"CTAS","Cintas Corporation - Common Stock",350.25
"CTBI","Community Trust Bancorp, Inc. - Common Stock",45.380001068115234
"CTG","Computer Task Group, Incorporated - Common Stock",10.239999771118164
"CTIC","CTI BioPharma Corp. - Common Stock",2.2200000286102295
"CTLP","Cantaloupe, Inc. - Common Stock",9.920000076293945
"CTMX","CytomX Therapeutics, Inc. - Common Stock",8.149999618530273
"CTRE","CareTrust REIT, Inc. - Common Stock",22.790000915527344
"CTRN","Citi Trends, Inc. - Common Stock",107.19999694824219
