Entry,Quant Rating,Symbol,StockPrice,Annualized,Strike,Exp,Income,Chance,Bid,Ask,OpenInterest,Volume,Collateral,DaysHeld,PercentProfit
2021-05-09,?,BB,8.48,252.28,8.5,2021-05-14,23.5,?,0.22,0.25,659,1144,850.0,4,2.76
2021-05-09,?,BB,8.48,603.26,9.0,2021-05-14,59.5,?,0.58,0.61,795,2371,900.0,4,6.61
2021-05-09,?,BB,8.48,51.47,8.0,2021-06-18,44.0,?,0.43,0.45,3615,321,800.0,39,5.5
2021-05-09,?,BBD,4.59,157.4,5.5,2021-06-18,92.5,?,0.85,1.0,1422,785,550.0,39,16.82
2021-05-09,?,BBD,4.59,8.41,3.5,2023-01-20,50.0,?,0.45,0.55,400,500,350.0,620,14.29
2021-05-09,?,BBD,4.59,13.08,4.5,2023-01-20,100.0,?,0.9500000000000001,1.05,317,308,450.0,620,22.22
2021-05-09,?,BBD,4.59,12.95,5.0,2023-01-20,110.00000000000001,?,0.45,1.75,17826,6001,500.0,620,22.0
2021-05-09,?,BTU,5.12,165.91,5,2021-05-21,25.0,?,0.2,0.30000000000000004,576,580,500,11,5.0
2021-05-09,?,BTU,5.12,81.98,10,2022-01-21,575.0,?,5.6,5.9,309,300,1000,256,57.5
2021-05-09,?,CSTM,17.17,38.71,15,2021-05-21,17.5,?,0.05,0.30000000000000004,1083,491,1500,11,1.17
2021-05-09,?,CSTM,17.17,26.07,14,2021-06-04,25.0,?,0.0,0.5,2000,2000,1400,25,1.79
2021-05-09,?,CXW,8.14,15.77,7,2023-01-20,187.5,?,1.7000000000000002,2.05,1689,301,700,620,26.79
2021-05-09,?,CYH,15.22,20.74,8,2021-05-21,5.0,?,0,0.1,652,625,800,11,0.62
2021-05-09,?,CYH,15.22,9.36,5,2021-06-18,5.0,?,0,0.1,2023,2000,500,39,1.0
2021-05-09,?,DB,14.14,125.76,16,2021-06-18,215.0,?,1.79,2.51,1812,697,1600,39,13.44
2021-05-09,?,DB,14.14,44.16,17,2021-10-15,325.0,?,3.2,3.3,452,440,1700,158,19.12
2021-05-09,?,DB,14.14,16.29,14,2022-01-21,160.0,?,1.57,1.63,803,510,1400,256,11.43
2021-05-09,?,DBD,13.69,403.71,15.0,2021-05-21,182.50000000000003,?,1.7000000000000002,1.9500000000000002,604,304,1500.0,11,12.17
2021-05-09,?,DBD,13.69,58.03,12.5,2021-06-18,77.5,?,0.7000000000000001,0.85,1274,356,1250.0,39,6.2
2021-05-09,?,DBI,19.35,25.79,20,2022-05-20,530.0,?,4.5,6.1,1513,750,2000,375,26.5
2021-05-09,?,DS,2.8,162.82,5,2021-08-20,227.50000000000003,?,2.2,2.35,2577,452,500,102,45.5
2021-05-09,?,DS,2.8,89.83,5,2021-11-19,237.5,?,2.3,2.45,8293,838,500,193,47.5
2021-05-09,?,DSX,3.98,111.14,4,2021-06-18,47.5,?,0.45,0.5,779,460,400,39,11.88
2021-05-09,?,EDU,14.93,46.79,15.0,2021-06-18,75.0,?,0.7000000000000001,0.8,4104,619,1500.0,39,5.0
2021-05-09,?,EDU,14.93,0.0,115.0,2021-07-16,0.0,?,0.0,0.0,251,250,11500.0,67,0.0
